 # MagPy ASCII
Time,"File",Bi-214_609[KeV],Bi-214_1120[KeV],Bi-214_1764[KeV],Pb-214_295[KeV],Pb-214_352[KeV]
2015-10-10 17:00:00,Spectral_401249.Chn,58487.9730366,207571.002115,69871.8098101,162715.82659,260939.113448
2015-10-10 18:00:00,Spectral_401250.Chn,58594.7443927,212628.706076,70517.8556437,174516.110753,245004.4415
2015-10-10 19:00:00,Spectral_401251.Chn,58842.5988479,213393.710848,70528.0803107,170967.644473,253883.280103
2015-10-10 20:00:00,Spectral_401252.Chn,57980.12504,211280.252505,71119.9174347,170640.180492,247287.588601
2015-10-10 21:00:00,Spectral_401253.Chn,58456.1251315,209796.096364,69062.6906277,175549.068269,243714.979015
2015-10-10 22:00:00,Spectral_401254.Chn,57780.2554668,213514.837247,69874.0123241,173520.41676,252346.631484
2015-10-10 23:00:00,Spectral_401255.Chn,58112.0666591,212563.932404,70472.0947379,175453.45451,250579.402162
2015-10-11 01:00:00,Spectral_401257.Chn,58115.1710973,212078.910194,69827.2164053,165625.747639,255989.409594
2015-10-11 02:00:00,Spectral_401258.Chn,58674.577025,209995.966657,70926.1122328,174083.415814,252080.704559
2015-10-11 03:00:00,Spectral_401259.Chn,57674.1568318,214042.920555,70872.1720774,171194.98161,236889.779155
2015-10-11 04:00:00,Spectral_401260.Chn,58124.991297,212718.202129,70254.1466048,165353.618383,254488.111805
2015-10-11 05:00:00,Spectral_401261.Chn,58810.5448479,210644.00146,70823.1113797,168742.763598,269158.845982
2015-10-11 06:00:00,Spectral_401262.Chn,59427.9893287,212402.978241,71461.2666794,172388.478175,257143.1883
2015-10-11 07:00:00,Spectral_401263.Chn,58494.970174,214562.877718,70667.9593142,174662.607431,245548.325141
2015-10-11 08:00:00,Spectral_401264.Chn,58532.7451113,208208.540723,70756.6748889,168446.706004,250052.346361
2015-10-11 09:00:00,Spectral_401265.Chn,59554.1527321,211291.358391,70285.451434,171665.761467,248277.106135
2015-10-11 10:00:00,Spectral_401266.Chn,58383.6485628,213086.821126,70179.9034165,168843.368408,242820.243851
2015-10-11 11:00:00,Spectral_401267.Chn,58394.8184734,207476.032727,70163.3158495,165850.174291,247342.300639
2015-10-11 12:00:00,Spectral_401268.Chn,58972.2022229,210912.233136,70500.574077,171876.304998,261135.954505
2015-10-11 13:00:00,Spectral_401269.Chn,58357.0423166,210290.77052,71179.3030438,164866.841317,259101.481187
2015-10-11 14:00:00,Spectral_401270.Chn,59149.0616759,211660.771271,70431.2393331,172891.407203,252548.242826
2015-10-11 15:00:00,Spectral_401271.Chn,59326.9415345,209632.336379,70248.6124649,170957.625985,256912.778852
2015-10-11 16:00:00,Spectral_401272.Chn,59538.3988599,213204.508591,70438.8286375,174640.930184,250635.073815
2015-10-11 17:00:00,Spectral_401273.Chn,58609.9645219,212241.397376,70587.3888546,168925.316572,262407.561929
2015-10-11 18:00:00,Spectral_401274.Chn,60115.8578826,211093.252182,69721.6467092,174873.785801,250463.733666
2015-10-11 19:00:00,Spectral_401275.Chn,59351.8060193,211943.682606,71031.1432126,168182.142273,258743.566244
2015-10-11 20:00:00,Spectral_401276.Chn,58910.6581126,210090.914623,69942.4391994,171397.540816,262329.412759
2015-10-11 21:00:00,Spectral_401277.Chn,58624.8005306,214461.287974,70867.9662965,167466.908261,251332.072677
2015-10-11 22:00:00,Spectral_401278.Chn,58448.3961387,214166.774622,71152.9968552,169372.031382,257503.45973
2015-10-12 00:00:00,Spectral_401280.Chn,58232.896696,211019.744226,71742.3698755,171022.379457,257115.465585
2015-10-12 01:00:00,Spectral_401281.Chn,59790.149858,210920.429087,70463.5580396,170724.138975,253836.661199
2015-10-12 02:00:00,Spectral_401282.Chn,58932.2880554,210923.164109,71027.1210899,172106.909463,261276.566312
2015-10-12 03:00:00,Spectral_401283.Chn,58401.8423266,213388.908538,70257.8480697,175677.51151,249400.024526
2015-10-12 04:00:00,Spectral_401284.Chn,59226.7337487,213621.899689,70644.6182771,153001.934432,254358.315041
2015-10-12 05:00:00,Spectral_401285.Chn,58637.1808264,213933.550612,69028.7593288,174623.480875,250571.622277
2015-10-12 06:00:00,Spectral_401286.Chn,59468.508975,211950.388217,70765.2697656,170084.906066,254437.941753
2015-10-12 07:00:00,Spectral_401287.Chn,58908.086409,210164.516494,71035.932176,170912.035969,249496.780352
2015-10-12 08:00:00,Spectral_401288.Chn,59195.6684257,209246.262419,70953.7146047,164829.769007,239887.271285
2015-10-12 09:00:00,Spectral_401289.Chn,59181.3054317,214804.479619,70719.2428803,173355.171761,255357.743482
2015-10-12 11:00:00,Spectral_401291.Chn,58575.0445253,213707.925746,70960.7601299,170526.0124,253658.857448
2015-10-12 12:00:00,Spectral_401292.Chn,58202.645558,212914.330439,70412.6896807,172185.994845,246924.053155
2015-10-12 13:00:00,Spectral_401293.Chn,59616.8432775,212068.406445,71112.042775,166603.022729,246446.251006
2015-10-12 14:00:00,Spectral_401294.Chn,59693.0807628,215532.457444,70595.561218,171048.123007,261037.978156
2015-10-12 15:00:00,Spectral_401295.Chn,58624.9288613,213086.973699,71071.216795,169842.385276,259418.315268
2015-10-12 17:00:00,Spectral_401297.Chn,59764.1556348,211685.439815,70318.1568374,175762.011651,252065.37251
2015-10-12 18:00:00,Spectral_401298.Chn,59561.5628906,212121.107339,69851.8550608,171438.648011,257345.351224
2015-10-12 19:00:00,Spectral_401299.Chn,60111.9481509,212655.8293,70440.7577162,175482.167502,259192.284128
2015-10-12 20:00:00,Spectral_401300.Chn,59080.9317601,215910.554341,70909.771352,169764.327872,262170.778562
2015-10-12 21:00:00,Spectral_401301.Chn,58814.5908492,215408.606637,70151.6976013,175025.126519,254979.627305
