 # MagPy ASCII
Time,"File",CountsBa[],CountsCs[],CountsBi1120[],CountsBi1764[],CountsAll[],CountsMCA(Bi1764)[],CountsSCA(Ch291)[],ChannelShift(Max_near_291)[]
2016-09-30 02:00:00,Spectral_409778.Chn,883767.615801,202678.833715,8742.18419176,8692.93356472,26399.0,742.497998238,609.5,6.24163568773
2016-09-30 03:00:00,Spectral_409779.Chn,888682.642337,202767.676446,8918.24558346,8820.59761314,26579.2592593,755.431061238,565.660714286,6.24163568773
2016-09-30 04:00:00,Spectral_409780.Chn,886944.751246,202837.643723,8585.85966428,8756.23093682,26032.6720085,748.169689059,612.0,6.6282527881
2016-09-30 05:00:00,Spectral_409781.Chn,884167.270665,203443.014041,8684.36871514,8980.05753375,28199.8461538,768.169531316,542.0,6.56505576208
2016-09-30 06:00:00,Spectral_409782.Chn,887696.48928,203222.845575,8628.52142776,8888.1074,26687.225,761.068532497,592.125,6.56505576208
2016-09-30 07:00:00,Spectral_409783.Chn,889197.898415,202742.700473,8744.29902257,8532.62789665,25410.0731707,726.458894193,636.315789474,6.59851301115
2016-09-30 08:00:00,Spectral_409784.Chn,882051.368324,202243.990223,8420.95358312,8786.5651224,26471.1824324,748.31187138,587.696428571,6.33828996283
2016-09-30 09:00:00,Spectral_409785.Chn,887790.134263,203182.450319,8774.92281228,8893.72752738,26674.8317073,767.592825204,556.220338983,6.33828996283
2016-09-30 10:00:00,Spectral_409786.Chn,890022.906542,202937.127501,8910.1472108,8766.24731289,26637.9156997,749.350571901,604.525423729,6.43494423792
2016-09-30 11:00:00,Spectral_409787.Chn,888564.410115,203048.079518,8943.28578772,9017.13779286,27286.9166667,770.895101786,601.75,6.53159851301
2016-09-30 12:00:00,Spectral_409788.Chn,887706.187006,203103.779621,8303.2368298,8753.9852481,28201.0816327,744.440479875,566.2,6.43494423792
2016-09-30 13:00:00,Spectral_409789.Chn,886692.570798,203495.948744,8626.75455783,8662.47497739,25989.8571429,743.249236047,526.4,6.6282527881
2016-09-30 14:00:00,Spectral_409790.Chn,883351.211731,202480.696529,8378.5721938,8900.1084885,28199.1284585,760.700446784,533.052631579,6.66171003717
2016-09-30 15:00:00,Spectral_409791.Chn,882139.640004,202799.85013,8554.27460717,8742.04554285,25860.276246,748.452373981,575.206896552,6.46840148699
